f1,i,query time (s),train time (s)
0.6405228758169934,0,0,0
0.631578947368421,1,0,0
0.631578947368421,2,0,0
0.631578947368421,3,0,0
0.631578947368421,4,0,0
0.631578947368421,5,0,0
0.631578947368421,6,0,0
0.631578947368421,7,0,0
0.631578947368421,8,0,0
0.631578947368421,9,0,0
0.631578947368421,10,0,0
0.6405228758169934,11,0,0
0.631578947368421,12,0,0
0.631578947368421,13,0,0
0.6405228758169934,14,0,0
0.6405228758169934,15,0,0
0.6405228758169934,16,0,0
0.6405228758169934,17,0,0
0.6405228758169934,18,0,0
0.6405228758169934,19,0,0
0.6405228758169934,20,0,0
0.6405228758169934,21,0,0
0.6405228758169934,22,0,0
0.6405228758169934,23,0,0
0.6405228758169934,24,0,0
0.6405228758169934,25,0,0
0.6405228758169934,26,0,0
0.6405228758169934,27,0,0
0.6405228758169934,28,0,0
0.6405228758169934,29,0,0
0.6405228758169934,30,0,0
0.6405228758169934,31,0,0
0.6405228758169934,32,0,0
0.6405228758169934,33,0,0
0.6363636363636364,34,0,0
0.6405228758169934,35,0,0
0.6363636363636364,36,0,0
0.6363636363636364,37,0,0
0.6405228758169934,38,0,0
0.6405228758169934,39,0,0
0.6405228758169934,40,0,0
0.6405228758169934,41,0,0
0.6405228758169934,42,0,0
0.6405228758169934,43,0,0
0.6405228758169934,44,0,0
0.6405228758169934,45,0,0
0.6405228758169934,46,0,0
0.6405228758169934,47,0,0
0.6405228758169934,48,0,0
0.6405228758169934,49,0,0
0.6405228758169934,50,0,0
0.6405228758169934,51,0,0
0.6405228758169934,52,0,0
0.6405228758169934,53,0,0
0.6405228758169934,54,0,0
0.6405228758169934,55,0,0
0.6405228758169934,56,0,0
0.6405228758169934,57,0,0
0.6405228758169934,58,0,0
0.6405228758169934,59,0,0
0.6405228758169934,60,0,0
0.6405228758169934,61,0,0
0.6405228758169934,62,0,0
0.6405228758169934,63,0,0
0.6405228758169934,64,0,0
0.6405228758169934,65,0,0
0.6405228758169934,66,0,0
0.6405228758169934,67,0,0
0.6405228758169934,68,0,0
0.6405228758169934,69,0,0
0.6405228758169934,70,0,0
0.6405228758169934,71,0,0
0.6405228758169934,72,0,0
0.6405228758169934,73,0,0
0.6405228758169934,74,0,0
0.6405228758169934,75,0,0
0.6405228758169934,76,0,0
0.6405228758169934,77,0,0
0.6405228758169934,78,0,0
0.6405228758169934,79,0,0
0.6405228758169934,80,0,0
0.6405228758169934,81,0,0
0.6405228758169934,82,0,0
0.6405228758169934,83,0,0
0.6405228758169934,84,0,0
0.6405228758169934,85,0,0
0.6405228758169934,86,0,0
0.6405228758169934,87,0,0
0.6405228758169934,88,0,0
0.6363636363636364,89,0,0
0.6405228758169934,90,0,0
0.6363636363636364,91,0,0
0.6363636363636364,92,0,0
0.6363636363636364,93,0,0
0.6363636363636364,94,0,0
0.6405228758169934,95,0,0
0.6405228758169934,96,0,0
0.6405228758169934,97,0,0
0.6405228758169934,98,0,0
0.6405228758169934,99,0,0
0.6405228758169934,100,0,0
